Sample	 Bioproject	  Biosamples	   Species	             Ecotype	   dev_stage	*sex	*tissue
13A2-2	PRJNA970270	SAMN34997898	Pygoscelis_papua 	Southeastern_gentoo	Adult	Female	Blood
15A2-B	PRJNA970270	SAMN34997899	Pygoscelis_papua 	Southeastern_gentoo	Adult	Female	Blood
18A1-1	PRJNA970270	SAMN34998497	Pygoscelis_papua 	Southeastern_gentoo	Adult	Male	Blood
19A1-1	PRJNA970270	SAMN34998498	Pygoscelis_papua 	Southeastern_gentoo	Adult	Female	Blood
22A1-1	PRJNA970270	SAMN34998500	Pygoscelis_papua 	Southeastern_gentoo	Adult	Male	Blood
24A1-1	PRJNA970270	SAMN34998501	Pygoscelis_papua 	Southeastern_gentoo	Adult	Female	Blood
CRO05	PRJNA970270	SAMN34998504	Pygoscelis_papua 	Eastern_gentoo	Adult	Female	Blood
CRO07	PRJNA970270	SAMN34998505	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
CRO08	PRJNA970270	SAMN34998506	Pygoscelis_papua 	Eastern_gentoo	Adult	Female	Blood
GEN04	PRJNA970270	SAMN34998523	Pygoscelis_papua 	Eastern_gentoo	Adult	Female	Blood
GEN05	PRJNA970270	SAMN34998524	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
GEN08	PRJNA970270	SAMN34998529	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
GEN09	PRJNA970270	SAMN34998561	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
GEN10	PRJNA970270	SAMN34998562	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
GSA10	PRJNA970270	SAMN34998563	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
GSA12	PRJNA970270	SAMN34999069	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
GSA14	PRJNA970270	SAMN34999074	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
GSA15	PRJNA970270	SAMN34999075	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
GSA7	PRJNA970270	SAMN34999076	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
GSA8	PRJNA970270	SAMN34999077	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
GSA9	PRJNA970270	SAMN34999082	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
GTP06	PRJNA970270	SAMN34999083	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
GTP07	PRJNA970270	SAMN34999084	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
GTP12	PRJNA970270	SAMN34999085	Pygoscelis_papua 	Eastern_gentoo	Adult	Male	Blood
P0048	PRJNA970270	SAMN34999086	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0051	PRJNA970270	SAMN34999087	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0052	PRJNA970270	SAMN34999099	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0056	PRJNA970270	SAMN34999100	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0058	PRJNA970270	SAMN34999101	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0065	PRJNA970270	SAMN34999103	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0167	PRJNA970270	SAMN34999106	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0169	PRJNA970270	SAMN34999128	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0170	PRJNA970270	SAMN34999129	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0173	PRJNA970270	SAMN34999356	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0196	PRJNA970270	SAMN34999358	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0198	PRJNA970270	SAMN34999386	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0200	PRJNA970270	SAMN34999388	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0402	PRJNA970270	SAMN34999848	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0404	PRJNA970270	SAMN34999389	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0405	PRJNA970270	SAMN34999390	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0407	PRJNA970270	SAMN34999392	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0408	PRJNA970270	SAMN34999405	Pygoscelis_papua 	Southern_gentoo	Adult	Male	Blood
P0409	PRJNA970270	SAMN34999407	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P0412	PRJNA970270	SAMN34999485	Pygoscelis_papua 	Southern_gentoo	Adult	Female	Blood
P1884	PRJNA970270	SAMN34999486	Pygoscelis_papua 	Northern_gentoo	Adult	Male	Blood
P1885	PRJNA970270	SAMN34999488	Pygoscelis_papua 	Northern_gentoo	Adult	Female	Blood
P1887	PRJNA970270	SAMN34999489	Pygoscelis_papua 	Northern_gentoo	Adult	Male	Blood
P1889	PRJNA970270	SAMN34999500	Pygoscelis_papua 	Northern_gentoo	Adult	Male	Blood
P1893	PRJNA970270	SAMN34999501	Pygoscelis_papua 	Northern_gentoo	Adult	Male	Blood
P1896	PRJNA970270	SAMN34999502	Pygoscelis_papua 	Northern_gentoo	Adult	Male	Blood
P2134	PRJNA970270	SAMN34999505	Pygoscelis_papua 	Eastern_gentoo	Adult	Female	Blood
P2136	PRJNA970270	SAMN34999565	Pygoscelis_papua 	Eastern_gentoo	Adult	Female	Blood
P2143	PRJNA970270	SAMN34999578	Pygoscelis_papua 	Eastern_gentoo	Adult	Female	Blood
PAM10	PRJNA970270	SAMN34999579	Pygoscelis_papua 	Northern_gentoo	Adult	Female	Blood
PAM1	PRJNA970270	SAMN34999580	Pygoscelis_papua 	Northern_gentoo	Adult	Male	Blood
PAM3	PRJNA970270	SAMN34999596	Pygoscelis_papua 	Northern_gentoo	Adult	Male	Blood
PAM5	PRJNA970270	SAMN34999597	Pygoscelis_papua 	Northern_gentoo	Adult	Female	Blood
